run,n_acciones,kge_mediano,weap_J1_gw_storage,weap_J2_unmet_ap,weap_J3_agri_value,weap_J4_supply_cost,weap_J51_mean_town_fail,weap_J52_worst_year_frac,weap_J6_coastal_salinity,mlp_J1_gw_storage,mlp_J2_unmet_ap,mlp_J3_agri_value,mlp_J4_supply_cost,mlp_J51_mean_town_fail,mlp_J52_worst_year_frac,mlp_J6_coastal_salinity
687,2,0.8339626171221601,33415154.0,74702288.0,33918168967.833096,119267867347.97723,,,0.8621847315545961,33947243.701020755,71039720.7177178,34417175512.3606,141813767456.37585,,,0.8723434238504919
694,3,0.7856639341564478,34704116.0,65981468.0,33894969220.44543,107886783638.45505,,,0.8658805728514434,34054756.03315921,62144764.267307386,34576204961.04611,110573084373.51488,,,0.8743276328619286
698,3,0.7793292398083601,34934024.0,55032792.0,33320655503.604404,91851922399.30426,,,0.8657144643395284,34332203.84881916,53516400.68130478,33723896016.103474,102263301406.49062,,,0.8745196533629583
706,1,0.8575839648833641,39322992.0,26847518.0,62503740697.35627,82382326275.12679,,,0.8621593457187159,39187259.57823624,27077028.98175112,60876346313.694855,75967857951.88823,,,0.8646565271947569
712,4,0.5932295982459754,28744844.0,15494856.0,43325324769.59673,99671020747.40678,,,0.8639786687579002,31595494.099331874,13816003.998775018,44802930840.03013,112095224225.07648,,,0.8637254345312368
736,4,0.8458637342337121,30229860.0,19734012.0,49555126409.380974,79766851330.96602,,,0.8621208235656187,31163791.488980033,19757280.53524103,48485295267.41568,77029141415.08801,,,0.8676630173531042
740,1,0.8476908944386194,32796600.0,13949765.0,49462827995.63478,94109711983.19421,,,0.8626988030443289,32209828.973957036,13700797.478509761,50168447827.80542,102438209915.26695,,,0.8577188072059452
747,2,0.8284071578415921,39585720.0,8255971.5,36355766600.3351,66783029345.489876,,,0.8546205810918861,39689575.52130492,11180431.73908478,38135618801.63095,62376212048.85465,,,0.8634526627203571
762,2,0.7873966936230898,38147788.0,10834530.0,35879213103.458725,78710610262.73982,,,0.862824628912578,38147769.86699542,13850659.381668288,37235419398.19886,84754866579.05884,,,0.8666586227626699
768,1,0.8626415560980508,38393232.0,12562371.0,62088171895.71335,79585377753.63881,,,0.8645070413331608,38319026.003274366,13093232.660695178,60604381379.23539,75287606451.15305,,,0.8592826194153661
808,2,0.8142333985590064,30881024.0,13395958.0,39804155684.65402,64729727705.43836,,,0.8643498445724274,31598681.434233885,13698554.275959875,40652395490.13683,71687268953.41759,,,0.8676917706018639
809,1,0.8394432069035871,39589064.0,69204464.0,36355195994.722496,109566468815.50975,,,0.8513419285428181,39630419.02602904,67841682.38715297,37362722726.81292,104831544206.16219,,,0.8695242359932914
817,3,0.8698373621724814,34060084.0,17174792.0,54984308570.899475,68236871359.5577,,,0.8591279743156789,33085860.52070407,18195485.097875245,53648134903.84697,66644474682.98467,,,0.8673166174857068
840,3,0.8138213998644178,34256440.0,15320078.0,50919351446.18647,97157074746.64465,,,0.8645974527798425,34470723.683440074,15360043.251598526,50169853301.9501,107099415281.58524,,,0.8654231441883189
844,1,0.8648773407515784,37762356.0,28488262.0,57494081147.55585,78077239204.60028,,,0.8631048828201324,37642683.605734974,28670798.051456235,55527831721.396416,73884847870.24425,,,0.866740672058493
